,puntuacion usuarios,marca
10792,8.5,SONY
4411,8.5,SONY
14573,8.5,SONY
13150,8.5,SONY
3527,8.5,SONY
880,8.5,SONY
749,8.5,SONY
1839,8.5,SONY
3984,8.5,SONY
105,8.5,SONY
4364,8.5,SONY
10443,8.5,SONY
2530,8.5,SONY
3595,8.5,SONY
744,8.5,SONY
6123,8.5,SONY
14440,8.5,SONY
4355,8.5,SONY
4002,8.5,SONY
2502,8.5,SONY
13742,8.5,SONY
12040,8.5,SONY
5573,8.5,SONY
1716,8.5,SONY
13051,8.5,SONY
3106,8.5,SONY
8706,8.5,SONY
6673,8.5,SONY
6506,8.5,SONY
17,8.5,SONY
2504,8.5,SONY
5606,8.5,SONY
3959,8.5,SONY
4833,8.5,SONY
10615,8.5,SONY
677,8.5,SONY
13225,8.5,SONY
2107,8.5,SONY
9821,8.5,SONY
2407,8.5,SONY
8412,8.5,SONY
3242,8.5,SONY
4731,8.5,SONY
3707,8.5,SONY
6180,8.5,SONY
13895,8.5,SONY
4129,8.5,SONY
8097,8.5,SONY
8468,8.5,SONY
9995,8.5,SONY
6100,8.5,SONY
2408,8.5,SONY
689,8.5,SONY
6059,8.5,SONY
1385,8.5,SONY
2187,8.5,SONY
2386,8.5,SONY
9220,8.5,SONY
52,8.5,SONY
700,8.5,SONY
14681,8.5,SONY
16424,8.5,SONY
7052,8.5,SONY
2701,8.5,SONY
13564,8.5,SONY
2356,8.5,SONY
3791,8.5,SONY
2720,8.5,SONY
1132,8.5,SONY
11491,8.5,SONY
2256,8.5,SONY
9374,8.5,SONY
2369,8.5,SONY
3796,8.5,SONY
5007,8.5,SONY
2764,8.5,SONY
9996,8.5,SONY
2224,8.5,SONY
14571,8.5,SONY
9064,8.5,SONY
2466,8.5,SONY
2117,8.5,SONY
9071,8.5,SONY
2459,8.5,SONY
4920,8.5,SONY
1465,8.5,SONY
9632,8.5,SONY
2153,8.5,SONY
3670,8.5,SONY
1492,8.5,SONY
801,8.5,SONY
1414,8.5,SONY
834,8.5,SONY
3172,8.5,SONY
3686,8.5,SONY
79,8.5,SONY
1419,8.5,SONY
4947,8.5,SONY
9593,8.4,SONY
628,8.4,SONY
5677,8.4,SONY
4299,8.4,SONY
2695,8.4,SONY
682,8.4,SONY
704,8.4,SONY
15649,8.4,SONY
2548,8.4,SONY
13231,8.4,SONY
2359,8.4,SONY
2563,8.4,SONY
10129,8.4,SONY
2288,8.4,SONY
13352,8.4,SONY
7,8.4,SONY
16500,8.4,SONY
8980,8.4,SONY
680,8.4,SONY
8958,8.4,SONY
5876,8.4,SONY
14550,8.4,SONY
2169,8.4,SONY
715,8.4,SONY
637,8.4,SONY
9543,8.4,SONY
2937,8.4,SONY
2225,8.4,SONY
2006,8.4,SONY
417,8.4,SONY
440,8.4,SONY
2555,8.4,SONY
2515,8.4,SONY
9962,8.4,SONY
2633,8.4,SONY
4155,8.4,SONY
13482,8.4,SONY
9758,8.4,SONY
16255,8.4,SONY
4840,8.4,SONY
2961,8.4,SONY
14363,8.4,SONY
5086,8.4,SONY
3351,8.4,SONY
3757,8.4,SONY
8276,8.4,SONY
5119,8.4,SONY
1174,8.4,SONY
17843,8.4,SONY
12679,8.4,SONY
559,8.4,SONY
1220,8.4,SONY
3788,8.4,SONY
5153,8.4,SONY
560,8.4,SONY
5154,8.4,SONY
1273,8.4,SONY
3259,8.4,SONY
11373,8.4,SONY
11367,8.4,SONY
3803,8.4,SONY
11343,8.4,SONY
1345,8.4,SONY
7030,8.4,SONY
11336,8.4,SONY
4585,8.4,SONY
15888,8.4,SONY
11307,8.4,SONY
5304,8.4,SONY
3207,8.4,SONY
14339,8.4,SONY
4687,8.4,SONY
4695,8.4,SONY
13975,8.4,SONY
3475,8.4,SONY
849,8.4,SONY
3612,8.4,SONY
16,8.4,SONY
527,8.4,SONY
843,8.4,SONY
919,8.4,SONY
12026,8.4,SONY
4893,8.4,SONY
7400,8.4,SONY
12414,8.4,SONY
11960,8.4,SONY
1009,8.4,SONY
12434,8.4,SONY
4924,8.4,SONY
5014,8.4,SONY
1021,8.4,SONY
12498,8.4,SONY
11802,8.4,SONY
4946,8.4,SONY
4959,8.4,SONY
12535,8.4,SONY
1060,8.4,SONY
3701,8.4,SONY
4744,8.4,SONY
4975,8.4,SONY
502,8.4,SONY
345,8.4,SONY
3401,8.4,SONY
8486,8.4,SONY
2546,8.4,SONY
1554,8.4,SONY
16538,8.4,SONY
779,8.4,SONY
8595,8.4,SONY
3036,8.4,SONY
3971,8.4,SONY
10934,8.4,SONY
10793,8.4,SONY
755,8.4,SONY
300,8.4,SONY
1604,8.4,SONY
1746,8.4,SONY
10956,8.4,SONY
16567,8.4,SONY
4507,8.4,SONY
1576,8.4,SONY
3950,8.4,SONY
1733,8.4,SONY
