,nombre,plataforma,fecha lanzamiento,puntuacion,puntuacion usuarios,desarrollador,genero,numero jugadores,numero criticas,numero usuarios
3797,Shantae: Half-Genie Hero,WiiU,2016-12-20,80,8.4,WayForward,"Action,Platformer,Platformer,2D,2D",No info,9,46
2636,A Plague Tale: Innocence,XboxOne,2019-05-14,83,8.4,AsoboStudio,"Action Adventure,General,Linear",No Online Multiplayer,22,312
2727,Super Robot Taisen: Original Generation 2,GameBoyAdvance,2006-11-14,82,8.4,Banpresto,"Strategy,Turn-Based,Sci-Fi",1 Player,7,10
6846,Ghostbusters: The Video Game,Wii,2009-06-16,76,8.4,RedFlyStudio,"Action,General,General",No Online Multiplayer,29,32
3804,Rogue Legacy,Switch,2018-11-06,80,8.4,CellarDoorGames,"Action,Platformer,2D",No Online Multiplayer,8,12
6891,Pumpkin Jack,Switch,2020-10-23,75,8.4,NicolasMeyssonnier,"Action,Platformer,3D",No Online Multiplayer,8,9
6911,Yakuza,PlayStation2,2006-09-05,75,8.4,AmusementVision,"Action Adventure,Modern",1 Player,58,121
6920,Devil May Cry 4: Special Edition,PlayStation4,2015-06-23,75,8.4,Capcom,"Fantasy,Action Adventure,General,Linear",No Online Multiplayer,28,390
2656,Europa Universalis III,PC,2007-01-23,83,8.4,ParadoxDevelopmentStudio,"Strategy,General,General",32  Online,25,214
13597,Dragon Ball Z: Tenkaichi Tag Team,PSP,2010-10-19,63,8.4,Spike,"Action,Fighting,Fighting,3D,3D",No Online Multiplayer,22,31
6840,Max & the Magic Marker,Wii,2010-03-08,76,8.4,PressPlay,"Action,Platformer,Platformer,2D,2D",1 Player,21,25
8421,Dungeon Travelers 2: The Royal Library & the Monster Seal,PlayStationVita,2015-08-18,73,8.4,AquaPlus,"Role-Playing,Western-Style",No Online Multiplayer,19,46
4873,Sphinx and the Cursed Mummy,GameCube,2003-11-10,79,8.4,EurocomEntertainmentSoftware,"Action Adventure,Fantasy",1 Player,22,16
2174,Trine 2,PC,2011-12-07,84,8.4,"Frozenbyte,Inc.","Action,Platformer,Platformer,2D,2D",No info,55,725
4040,Puppeteer,PlayStation3,2013-09-10,80,8.4,SCEJapanStudio,"Action,Platformer,Platformer,3D,2D,3D",No Online Multiplayer,75,271
12200,Aliens Versus Predator: Extinction,PlayStation2,2003-07-30,66,8.4,ZonoInc.,"Strategy,Real-Time,Sci-Fi",1 Player,17,32
11012,Serious Sam: Next Encounter,GameCube,2004-04-12,69,8.4,ClimaxGroup,"Action,Shooter,First-Person,Sci-Fi",1-4 ,18,12
11064,Romance of the Three Kingdoms XI,PlayStation2,2007-02-06,69,8.4,Koei,"Strategy,Turn-Based,Historic",1-8 ,10,8
4170,Bit.Trip Beat,Wii,2009-03-16,80,8.4,GaijinGames,"Action,Miscellaneous,Rhythm,Music,Music",1-4 ,15,23
1555,Tekken Tag Tournament,PlayStation2,2000-10-25,85,8.4,Namco,"Action,Fighting,3D",1-4 ,25,159
455,Tony Hawk's Pro Skater 4,Xbox,2002-10-23,90,8.4,NeversoftEntertainment,"Sports,Alternative,Skateboarding",1-2 ,25,20
10930,Evan's Remains,Switch,2020-06-11,69,8.4,MatiasSchmied,"Adventure,General",No Online Multiplayer,7,5
12171,Adventures of Mana,PlayStationVita,2016-06-28,66,8.4,"SquareEnix,MCF","Role-Playing,Action RPG",No Online Multiplayer,18,22
1544,Bravely Default,3DS,2014-02-07,85,8.4,SiliconStudio,"Console-style RPG,Role-Playing,Console-style RPG,Japanese-Style",No Online Multiplayer,67,657
1540,Trials Evolution: Origin of Pain,Xbox360,2012-10-05,85,8.4,RedLynx,"Street,Driving,Racing,Simulation,Motorcycle,Automobile,Street",No info,11,14
1536,Rollcage Stage II,PlayStation,2000-10-10,85,8.4,AttentionToDetail,"Driving,Racing,Futuristic",No info,7,18
812,Tiger Woods PGA Tour 2003,PlayStation2,2002-10-27,88,8.4,EASports,"Sports,Traditional,Golf,Sim",1-4 ,18,18
1533,Midnight Club II,PlayStation2,2003-04-09,85,8.4,RockstarSanDiego,"Driving,Racing,GT / Street",1-8 ,41,65
1530,Lara Croft and the Guardian of Light,Xbox360,2010-08-18,85,8.4,CrystalDynamics,"Action,Action Adventure,Adventure,Shooter,General,General,Third-Person,Modern",No info,73,114
